ID,Nest,1st egg laid,Year,Date collection,Date collection num,Egg number collected,Time collection,Temperature - time of collection,Accumulated rain until collection,Clutch number,Female,Prop Lauric (SFA),Prop Myristic acid (SFA),Prop 15_0 (SFA),Prop Palmitic acid (SFA),Prop 17_0 (SFA),Prop Stearic (SFA),Prop Total SFA,Prop 14_1 (MUFA),Prop Oleic acid (MUFA),Prop 16:1n-9 (MUFA),Prop Palmitoleic acid (MUFA),Prop cis-vaccenic acid (MUFA),Prop Gondoic acid (MUFA),Prop 20:1n-7 (MUFA),Prop Total MUFA,Prop alfa-linolenic acid (n-3 PUFA),Prop EPA (n-3 PUFA),Prop DPA (n-3 PUFA),Prop DHA (n-3 PUFA),Prop Total n-3 PUFA,Prop 16:02 (n-6 PUFA),Prop gamma-linolenic (n-6 PUFA),Prop Linoleic acid (n-6 PUFA),Prop pinoleic acid (n-6 PUFA),Prop Eicosadienoic acid (n-6 PUFA),Prop dihomo-gamma-linolenic acid (n-6 PUFA),Prop eicosatrienoic acid (n-6 PUFA),Prop Arachidonic acid (n-6 PUFA),Prop 22:4n-6 (n-6 PUFA),Prop 22:5n-6 (n-6 PUFA),Prop Total n-6 PUFA,Prop 18:2 (n-9 PUFA),Prop Total n-9 PUFA,Prop Ratio n6/n3,Temp 3 days before,Mean accumulated rain 3 days previous
5,143,17-Apr-15,2015,20-Apr-15,4.2,4,12:14:00 PM,17,0,1,C3K 7111,0.005713366,0.351814369,0.075018153,18.65939791,0.538152709,8.417664436,28.04776094,NA,38.31735748,1.39048671,1.507837778,1.656640688,0.049328565,1.61107622,44.53272744,2.932893556,0.348559392,1.842496135,0.387317523,5.511266606,0.038474448,0.093782468,18.79898855,0,0.349750902,0.318348585,0,2.038501505,0.211561712,NA,21.84940817,0.058836838,0.058836838,3.964498496,7.02,0
55,121B,17-May-15,2015,20-May-15,5.2,4,9:17:00 AM,7,4.41,2,C3K 6092,0.017804796,0.477040934,0.110603643,24.55008873,0.692516844,7.704401334,33.55245628,NA,36.58801615,0.933463069,2.423333977,2.118712037,0.045011514,0.362244173,42.47078092,7.424006691,0.517450764,2.286125146,0.217609835,10.44519244,0.024414481,0.0827007,11.4920437,0,0.220703807,0.171407398,0,1.386786049,0.089691784,NA,13.46774792,0.06382245,0.06382245,1.289372886,13.21,0.02
4,119,17-Apr-15,2015,20-Apr-15,4.2,4,9:18:00 AM,11.5,0,1,C3F 8990,0.017800549,0.779020462,0.061565772,18.01050846,0.551423526,8.951116686,28.37143546,NA,37.0120452,1.347832877,1.076889742,1.547743203,0.060946124,1.830232245,42.87568939,1.561010794,0.246876897,1.371237945,0.249567035,3.428692671,0.047406734,0.131595792,21.63362236,0,0.391745029,0.468994515,0,2.267301142,0.323744562,NA,25.26441013,0.059772347,0.059772347,7.368525721,7.02,0
6,208,17-Apr-15,2015,20-Apr-15,4.2,4,10:53:00 AM,15.75,0,1,NA,0.011601702,0.264586187,0.058633634,16.37384104,0.541610926,8.423058544,25.67333203,NA,38.43326228,1.495009945,0.821718562,1.26772716,0.088638637,2.000169396,44.10652598,1.705437632,0.267356523,1.409696245,0.225208096,3.607698496,0.047250044,0.112777245,23.36284816,0,0.463947297,0.315442998,0,1.968286509,0.268558865,NA,26.53911112,0.073332369,0.073332369,7.356244195,7.02,0
7,213,17-Apr-15,2015,20-Apr-15,4.2,4,11:34:00 AM,16,0,1,NA,0.006856589,0.245899128,0.059099386,17.19416672,0.444152724,8.438920329,26.38909488,NA,39.75171619,1.587219952,0.635283606,1.200201482,0.07880152,2.159969641,45.41319239,1.5009975,0.211181005,1.264190765,0.37480172,3.35117099,0.040399065,0.112239208,21.47690817,0,0.342128905,0.326898899,0,2.225878056,0.272856907,NA,24.79730921,0.049232531,0.049232531,7.399595331,7.02,0
11,183,19-Apr-15,2015,21-Apr-15,4.21,4,11:19:00 AM,18,0,1,NA,0.008119516,0.329044502,0.099601115,20.75941576,0.53551804,7.446362013,29.17806095,NA,38.73239924,1.5525735,1.724218099,1.635198739,0.057479324,1.464690609,45.16655951,2.821193076,0.316575856,1.623532868,0.288426557,5.049728357,0.035091519,0.098650319,17.72348863,0,0.342410703,0.352633305,0,1.809097736,0.180811023,NA,20.54218324,0.063467945,0.063467945,4.067977876,5.72,0
13,102,19-Apr-15,2015,22-Apr-15,4.22,4,9:18:00 AM,10,0,1,C3F 8002,0.007749671,0.347229907,0.076420724,18.37803307,0.598689759,8.602012723,28.01013585,NA,38.44090706,1.480149131,1.368060093,1.594840496,0.063501249,1.849513469,44.7969715,2.140531121,0.286028686,1.307315031,0.31136062,4.045235458,0.045134027,0.139134473,19.44348024,0,0.377515569,0.380001727,0.030623845,2.398284007,0.290065578,NA,23.10423947,0.043417727,0.043417727,5.71146963,6.9,0
15,134,19-Apr-15,2015,22-Apr-15,4.22,4,10:09:00 AM,8.5,0,1,C3K 7143,0.011046521,0.364714352,0.069948825,18.50719178,0.559095216,7.736828203,27.2488249,NA,37.59085757,1.444137699,1.083380746,1.283309116,0.056443925,1.958338353,43.41646741,1.506019634,0.340218883,1.372323703,0.275054097,3.493616317,0.040428483,0.102301095,22.76857131,0,0.360329195,0.310526899,0,2.008906403,0.234990259,NA,25.82605364,0.015037731,0.015037731,7.392355457,6.9,0
16,195,19-Apr-15,2015,22-Apr-15,4.22,4,10:50:00 AM,9.5,0,1,NA,0.002927148,0.246768226,0.068435799,16.62108011,0.509031576,8.560309879,26.00855274,NA,38.92075252,1.541779451,0.816776175,1.180466722,0.075693667,2.259900183,44.79536872,1.540255997,0.254072993,1.177881834,0.261189304,3.233400128,0.044734757,0.099772251,22.79540141,0,0.459662894,0.320388741,0,1.994498206,0.205029182,NA,25.91948744,0.043190985,0.043190985,8.016170723,6.9,0
27,93,21-Apr-15,2015,24-Apr-15,4.24,4,8:33:00 AM,6,0,1,NA,0.007724885,0.283566481,0.082727001,18.04332121,0.553363623,8.774935797,27.745639,NA,38.36065903,1.334490286,0.876142863,1.48197229,0.075457189,1.931387151,44.06010881,1.917480986,0.260556624,1.436158936,0.332969353,3.947165899,0.03887632,0.111442482,20.62571399,0,0.362067998,0.358457237,0,2.41880142,0.284230552,NA,24.19959,0.047496291,0.047496291,6.130877348,8.1,0
